job_seed,n_rounds,job_model,job_scheme_types,job_elt_type,"N","time","model","type","backend","elt_type","ESS","median_MC_err"
8,6,LogisticRegression,MCMC,Float64,16,0.635647438,"LogisticRegression",MCMC,GPU,"Float64",16.0,-5.054731659973487
8,6,LogisticRegression,MCMC,Float64,32,0.702781705,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.961302279251766
8,6,LogisticRegression,MCMC,Float64,64,0.713732631,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.878773889125594
8,6,LogisticRegression,MCMC,Float64,128,0.767688768,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.7630392571626885
8,6,LogisticRegression,MCMC,Float64,256,0.851785457,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.708398182432404
8,6,LogisticRegression,MCMC,Float64,512,0.851636139,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.726774276107944
8,6,LogisticRegression,MCMC,Float64,1024,1.378284494,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.747590263210423
8,6,LogisticRegression,MCMC,Float64,2048,0.848843916,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.740989692247409
8,6,LogisticRegression,MCMC,Float64,4096,0.855637293,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.735877212940036
8,6,LogisticRegression,MCMC,Float64,8192,1.033745227,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.749241640014072
8,6,LogisticRegression,MCMC,Float64,16384,1.213035195,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.74674600038127
8,6,LogisticRegression,MCMC,Float64,32768,2.429220129,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.744620568068699
9,6,LogisticRegression,MCMC,Float64,1,0.39668359,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
9,6,LogisticRegression,MCMC,Float64,2,0.434128675,"LogisticRegression",MCMC,GPU,"Float64",2.0,-3.9418832852142542
9,6,LogisticRegression,MCMC,Float64,4,0.50365306,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.7922874361368226
9,6,LogisticRegression,MCMC,Float64,8,0.553543583,"LogisticRegression",MCMC,GPU,"Float64",8.0,-4.140397642010774
9,6,LogisticRegression,MCMC,Float64,16,0.627750836,"LogisticRegression",MCMC,GPU,"Float64",16.0,-4.886287161224153
9,6,LogisticRegression,MCMC,Float64,32,0.703746247,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.754598038496497
9,6,LogisticRegression,MCMC,Float64,64,0.705820604,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.726546742710083
9,6,LogisticRegression,MCMC,Float64,128,0.758666457,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.740653154385231
9,6,LogisticRegression,MCMC,Float64,256,0.852636125,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.72763635893556
9,6,LogisticRegression,MCMC,Float64,512,0.85915355,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.750463606350516
9,6,LogisticRegression,MCMC,Float64,1024,1.378383756,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.735879735594787
9,6,LogisticRegression,MCMC,Float64,2048,0.850239225,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.749305494495609
9,6,LogisticRegression,MCMC,Float64,4096,0.853586055,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.744560201611419
9,6,LogisticRegression,MCMC,Float64,8192,1.044564077,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.73348531656105
9,6,LogisticRegression,MCMC,Float64,16384,1.214211453,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.7401408359159
9,6,LogisticRegression,MCMC,Float64,32768,2.420173073,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.737192617676916
8,14,LogisticRegression,MCMC,Float64,1,90.479400828,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
